Title,Time,Theater,PlayType,Price
娜塔莎、皮埃尔和1812年的大彗星,2024-01-01 19:00,九棵树未来艺术中心,音乐剧,432.0
玛蒂尔达,2024-01-04 19:30,上海大剧院,音乐剧,580.0
女权主义恋爱手册,2024-01-06 14:00,上海话剧艺术中心,话剧,246.40
玛蒂尔达,2024-01-10 19:30,上海大剧院,音乐剧,580.0
娜塔莎、皮埃尔和1812年的大彗星,2024-01-18 19:30,前滩31演艺中心,音乐剧,280.0
娜塔莎、皮埃尔和1812年的大彗星,2024-01-19 19:30,前滩31演艺中心,音乐剧,180.0
娜塔莎、皮埃尔和1812年的大彗星,2024-01-20 14:00,前滩31演艺中心,音乐剧,180.0
上海彩虹室内合唱团,2024-01-20 19:30,上海东方艺术中心,音乐会,180.0
娜塔莎、皮埃尔和1812年的大彗星,2024-01-21 14:00,前滩31演艺中心,音乐剧,180.0
娜塔莎、皮埃尔和1812年的大彗星,2024-01-26 19:30,前滩31演艺中心,音乐剧,230.0
重聚音乐剧明星演唱会,2024-01-28 14:00,上海大剧院,演唱会,680.0
唐璜,2024-01-30 19:30,上海文化广场,音乐剧,441.6
娜塔莎、皮埃尔和1812年的大彗星,2024-02-01 19:30,前滩31演艺中心,音乐剧,180.0
唐璜,2024-02-04 19:30,上海文化广场,音乐剧,280.0
娜塔莎、皮埃尔和1812年的大彗星,2024-02-14 14:00,前滩31演艺中心,音乐剧,480.0
娜塔莎、皮埃尔和1812年的大彗星,2024-02-16 14:00,前滩31演艺中心,音乐剧,180.0
娜塔莎、皮埃尔和1812年的大彗星,2024-02-17 14:00,前滩31演艺中心,音乐剧,180.0
马克赛博特音乐会,2024-02-18 14:00,上海文化广场,音乐会,349.60
演砸了,2024-02-22 19:30,茉莉花剧场,话剧,180.0
The Beat节奏,2024-03-10 17:00,亚洲大厦,话剧,199.0
长腿叔叔,2024-03-14 19:30,兰心大剧院,音乐剧,180.0
丁薇演唱会,2024-03-23 20:00,前滩31演艺中心,演唱会,188.0
王若琳“爱的呼唤”演唱会,2024-04-18 19:30,蜚声上海,演唱会,399.0
落花流水,2024-05-05 14:00,艺海剧院,肢体剧,280.0
芝加哥,2024-06-21 19:30,北外滩友邦大剧院,音乐剧,280.0
人间失格,2024-05-31 19:30,上海大剧院,音乐剧,280.0
复.调,2024-05-12 14:30,兰心大剧院,话剧,100.0
安.兰德,2024-04-30 19:30,兰心大剧院,话剧,100.0







